Date,High,Low,Open,Close,Volume,Adj Close,指数
2020-03-11,19974.830078125,19392.25,19758.259765625,19416.060546875,129200,19416.060546875,日経平均株価
2020-03-12,19142.1796875,18339.26953125,19064.509765625,18559.630859375,164600,18559.630859375,日経平均株価
2020-03-13,18184.4609375,16690.599609375,18183.470703125,17431.05078125,233400,17431.05078125,日経平均株価
2020-03-16,17785.759765625,16914.44921875,17586.080078125,17002.0390625,158100,17002.0390625,日経平均株価
2020-03-17,17557.0390625,16378.9404296875,16726.94921875,17011.529296875,198800,17011.529296875,日経平均株価
2020-03-18,17396.83984375,16698.4609375,17154.080078125,16726.55078125,177200,16726.55078125,日経平均株価
2020-03-19,17160.970703125,16358.1904296875,16995.76953125,16552.830078125,198900,16552.830078125,日経平均株価
2020-03-23,17049.029296875,16480.94921875,16570.5703125,16887.779296875,170300,16887.779296875,日経平均株価
2020-03-24,18100.390625,17197.140625,17206.880859375,18092.349609375,147300,18092.349609375,日経平均株価
2020-03-25,19564.380859375,18446.80078125,18446.80078125,19546.630859375,0,19546.630859375,日経平均株価
2020-01-31,9324.7998046875,9123.2197265625,9324.330078125,9150.9404296875,2685840000,9150.9404296875,ナスダック総合指数
2020-02-03,9299.849609375,9188.5498046875,9190.7197265625,9273.400390625,2420510000,9273.400390625,ナスダック総合指数
2020-02-04,9485.3798828125,9374.0498046875,9398.3896484375,9467.9697265625,2445420000,9467.9697265625,ナスダック総合指数
2020-02-05,9574.9404296875,9454.9296875,9574.099609375,9508.6796875,2462470000,9508.6796875,ナスダック総合指数
2020-02-06,9575.66015625,9505.6796875,9540.98046875,9572.150390625,2267300000,9572.150390625,ナスダック総合指数
2020-02-07,9570.08984375,9496.5302734375,9526.6396484375,9520.509765625,2238670000,9520.509765625,ナスダック総合指数
2020-02-10,9628.66015625,9493.6298828125,9493.6298828125,9628.3896484375,2179310000,9628.3896484375,ナスダック総合指数
2020-02-11,9714.740234375,9617.2099609375,9680.8896484375,9638.9404296875,2423670000,9638.9404296875,ナスダック総合指数
2020-02-12,9728.76953125,9666.6904296875,9688.599609375,9725.9599609375,2355000000,9725.9599609375,ナスダック総合指数
2020-02-13,9748.3203125,9650.01953125,9657.0400390625,9711.9697265625,2239270000,9711.9697265625,ナスダック総合指数
2020-02-14,9746.3603515625,9693.0498046875,9728.900390625,9731.1796875,2222240000,9731.1796875,ナスダック総合指数
2020-02-18,9747.6796875,9675.7998046875,9679.0400390625,9732.740234375,2273460000,9732.740234375,ナスダック総合指数
2020-02-19,9838.3701171875,9777.099609375,9782.8095703125,9817.1796875,2462530000,9817.1796875,ナスダック総合指数
2020-02-20,9820.8603515625,9636.9404296875,9799.2001953125,9750.9697265625,2735610000,9750.9697265625,ナスダック総合指数
2020-02-21,9715.9501953125,9542.330078125,9708.009765625,9576.58984375,2743010000,9576.58984375,ナスダック総合指数
2020-02-24,9322.8798828125,9166.009765625,9188.4404296875,9221.2802734375,3177000000,9221.2802734375,ナスダック総合指数
2020-02-25,9315.259765625,8940.490234375,9301.2001953125,8965.6103515625,3583400000,8965.6103515625,ナスダック総合指数
2020-02-26,9148.3203125,8927.7998046875,9011.5498046875,8980.7802734375,3567830000,8980.7802734375,ナスダック総合指数
2020-02-27,8904.1103515625,8562.0498046875,8744.0302734375,8566.48046875,4536080000,8566.48046875,ナスダック総合指数
2020-02-28,8591.8203125,8264.16015625,8269.740234375,8567.3701171875,5301170000,8567.3701171875,ナスダック総合指数
2020-03-02,8952.8095703125,8543.349609375,8667.1396484375,8952.169921875,4232760000,8952.169921875,ナスダック総合指数
2020-03-03,9070.3203125,8602.8896484375,8965.099609375,8684.08984375,4336700000,8684.08984375,ナスダック総合指数
2020-03-04,9019.9599609375,8757.66015625,8834.099609375,9018.08984375,3602870000,9018.08984375,ナスダック総合指数
2020-03-05,8921.080078125,8677.3896484375,8790.08984375,8738.58984375,3748090000,8738.58984375,ナスダック総合指数
2020-03-06,8612.3603515625,8375.1298828125,8469.01953125,8575.6201171875,4279850000,8575.6201171875,ナスダック総合指数
2020-03-09,8243.3095703125,7943.16015625,7957.93017578125,7950.68017578125,4530350000,7950.68017578125,ナスダック総合指数
2020-03-10,8347.400390625,7930.43017578125,8219.759765625,8344.25,4431930000,8344.25,ナスダック総合指数
2020-03-11,8181.35986328125,7850.9501953125,8136.25,7952.0498046875,4273890000,7952.0498046875,ナスダック総合指数
2020-03-12,7712.330078125,7194.669921875,7398.580078125,7201.7998046875,5066530000,7201.7998046875,ナスダック総合指数
2020-03-13,7875.93017578125,7219.08984375,7610.39013671875,7874.8798828125,4685890000,7874.8798828125,ナスダック総合指数
2020-03-16,7422.2001953125,6882.85986328125,7392.72998046875,6904.58984375,4594360000,6904.58984375,ナスダック総合指数
2020-03-17,7406.22998046875,6828.91015625,7072.0,7334.77978515625,4900000000,7334.77978515625,ナスダック総合指数
2020-03-18,7182.830078125,6686.35986328125,6902.31982421875,6989.83984375,4890820000,6989.83984375,ナスダック総合指数
2020-03-19,7341.3798828125,6858.3798828125,6996.4501953125,7150.580078125,4762170000,7150.580078125,ナスダック総合指数
2020-03-20,7354.43994140625,6854.669921875,7248.06982421875,6879.52001953125,5239940000,6879.52001953125,ナスダック総合指数
2020-03-23,6984.93994140625,6631.419921875,6847.27978515625,6860.669921875,4330610000,6860.669921875,ナスダック総合指数
2020-03-24,7418.3701171875,7169.85986328125,7196.14990234375,7417.85986328125,4417380000,7417.85986328125,ナスダック総合指数
